Date,Food & Beverages,Tobacco,Textiles/Clothing,Housing/Utilities,Furniture/Household,Medical Care,Transportation,Communications,Recreation/Culture,Education,Restaurants/Hotels,Miscellaneous,__sum,__headline,__residual
2018-05-01,0.3653575615474793,0.8348775968009363,0.4277957147050189,-0.8557164166008577,0.14289580514208353,0.00026420079260245364,1.7834249803613493,0.11058944131214758,0.4525597630632525,0.19383457299041104,0.4791040544371981,0.35653330967799235,4.291520584229614,3.4842556362958854,-0.8072649479337288
2018-06-01,0.3711751662971181,0.8466191823592546,0.5432416617905209,-1.0268732940036942,0.1527638190954775,-0.0002640762048475853,1.5729852012442234,0.11689098941744609,0.5648680924981001,0.1934581951787794,0.48717584705659606,0.2840287005049163,4.10606948523389,3.298128589957372,-0.8079408952765181
2018-07-01,0.35689655172413637,0.8639867304127233,0.6091598483336659,-1.2130316104605046,0.1605901766647257,-0.0011883429218146001,2.5225434674615013,0.11815286624203837,0.24306046229938505,0.19534008423693855,0.5048859009563487,0.268080593849416,4.62847672879856,3.780964797913944,-0.8475119308846164
2018-08-01,0.3943991560372118,0.8639867304127233,0.6504183889504991,-1.3422595984501586,0.155237727097024,-0.0002641758656476423,2.4769517092761286,0.11052146296486018,0.5964755335201556,0.22883770947217458,0.5150189393939408,0.16216688510266408,4.811490467911575,3.8525963149078635,-0.9588941530037118
2018-09-01,0.41345840911266285,0.8677976016379061,0.7175937122128179,-1.4734195147866094,0.19486085523126134,-0.002243589743589735,1.8771630655944196,0.11182619389219031,0.5376739669867301,0.15059174191286062,0.4981046676096176,0.12230014025245453,4.0157072499127215,3.094795539033468,-0.9209117108792535
2018-10-01,0.29375653330799084,0.08267872280305187,0.5528210587438309,-1.7691698909602536,0.18445495799942152,-0.002243589743589735,1.3599001344344175,0.1070170047121489,0.46506202947725617,0.1030429128738625,0.432635514018692,0.11104456579179214,1.920999953458621,1.6200294550809957,-0.30097049837762535
2018-11-01,0.2525028441410695,0.08267872280305187,0.6078106852497096,-1.8157454673473035,0.11295566028662093,-0.002243589743589735,1.2855876685934475,0.10963608405945742,0.35599829078089973,0.1030429128738625,0.4879633952750022,0.1023010714913056,1.6824882784635335,1.3349291106609984,-0.34755916780253515
2018-12-01,0.17129050596929993,0.08929680881107016,0.6186703975299112,-1.7027357237715797,0.11408802613876574,-0.0014522821576763434,0.27870778267253926,0.11888751799300841,0.15659235347523454,0.1030429128738625,0.5080879612374197,0.08397480755773187,0.5384510683295872,0.3474762253109054,-0.19097484301868184
2019-01-01,-0.1503708451606985,0.027235491249534505,0.30078590785907894,-1.9806389157792839,0.1162717219589254,-0.0018474879819019962,-0.9350388143966137,0.0051844564682733685,0.18571290851248407,0.05873873873873916,0.16237779329608884,-0.117007715531701,-2.328596760767075,-2.3866773532816965,-0.05808059251462172
2019-02-01,-0.26523747920901697,0.025315109291070392,0.3076574945691528,-2.028867342441602,0.08888888888888928,-0.0018474879819019962,-1.0287894923677667,0.005183946488294655,0.14088850342102785,0.05873873873873916,0.10724889313308421,0.07876098786102972,-2.512059239609,-2.5330003567606063,-0.020941117151606292
2019-03-01,-0.1024913039390817,0.025097038336789446,0.2240169935822111,-2.2316041500399013,0.058680427570954666,-0.002637776731040975,-0.7690374331550793,0.0051844564682733685,0.17390325107716406,0.05873873873873916,0.13999302041528516,0.009692074709742825,-2.410464662965944,-2.4775583482944397,-0.06709368532849558
2019-04-01,-0.1876054753422087,0.025097038336789446,-0.16471304347826085,-1.9787588430196086,0.08563755903324335,-0.002901554404145057,-0.3206499419694697,0.0027455225349336974,0.34021072796934854,0.05873873873873916,0.3389352262644181,-0.12377028504162198,-1.9270343303778426,-2.096266306792638,-0.16923197641479537
2019-05-01,-0.13265442086228058,0.024716951044490454,-0.11175298804780866,-1.869039690396903,0.06395262768319795,-0.0009245283018866291,0.1239236961848109,0.019330891814312846,0.8197530864197526,0.051807435326366225,0.38344400177069565,-0.13551802369548865,-0.7629609610607408,-1.0893050054015085,-0.3263440443407677
2019-06-01,-0.23708223807735723,0.015745535242523756,-0.2075280522525541,-1.820317748524743,0.05548791735842116,-0.0009244410904632571,-0.22859087814839874,0.019029702970297047,0.8685826696094423,0.052171678231816364,0.3867239394207786,-0.05102629346904166,-1.1477282087292786,-1.4887892376681533,-0.3410610289388747
2019-07-01,-0.2731652661064401,0.00628140703517599,-0.18123315363881365,-1.6780699351775779,0.03756354561419713,0.0,-0.8460182988817341,0.0165660564077188,0.9317282889079961,0.05035108751498525,-0.025106082036775577,-0.03365564037319686,-1.9947579907344648,-2.21643933955491,-0.221681348820445
2019-08-01,-0.21359440559440462,0.00628140703517599,-0.178145528044467,-1.6004400036666968,-0.008258064516129338,-0.0003963385863924751,-0.6932585210618869,0.015332871698486206,0.9031424514907717,0.018203450327185823,-0.03071693448702063,0.0005453770771197241,-1.7813042383282585,-2.0340501792114662,-0.2527459408832078
2019-09-01,-0.1910966542750943,0.005898319240004168,-0.23380235060420454,-1.4831575050897639,-0.022520793346129154,0.0003965631196297892,-0.8611092032967039,-0.00030662710187877583,0.8024357499041048,0.029502369668246507,-0.04754603929861645,0.06275589196628317,-1.9385502791141223,-2.1635265482736976,-0.22497626915957536
2019-10-01,-0.24525914208616276,0.006054911786198991,-0.19175232095490752,-1.4611574846967124,-0.007595398941026232,0.0003965631196297892,-0.7733485593815889,-0.005832260619863428,0.99651707970529,0.02878659671687265,-0.041904510218464634,0.09640723746861682,-1.5986872881021175,-1.856884057971031,-0.2581967698689136
2019-11-01,-0.15546038543897173,0.005741726693809346,-0.23330608908867959,-1.4233429394812651,0.053808992939427466,-0.0006609385327166261,-0.575261200637505,-0.003069306930693072,1.1301499605367007,0.02878659671687265,-0.09739624290083082,0.07911479944674937,-1.1908950266771026,-1.4445352957208946,-0.253640269043792
2019-12-01,-0.14723444080486595,0.06356942860105774,-0.25097911757536356,-1.6587643276488695,0.045727011227614155,-0.0009251392428965444,-0.11702089337175624,-0.002762649767303493,0.995688144831614,0.02878659671687265,-0.0944608695652171,-0.004420652737005782,-1.1427969093361197,-1.3668671405139388,-0.2240702311778191
2020-01-01,-0.22867987409738805,0.062296100668012944,-0.23167480751717875,-1.669475847893114,-0.07144906743185046,-0.0011892402076453478,0.5504241281809619,-0.029228049499115706,0.6818963127252564,0.0316297173802671,-0.20297832394606588,-0.052485904664275294,-1.1609148563021354,-1.34111851108476,-0.18020365478262468
2020-02-01,0.07410966647823516,0.06400746926707823,-0.15683060109289632,-1.578762886597936,-0.09018492176386914,-0.0011892402076453478,0.45442046973458217,-0.025572031817735662,0.45780535597648625,0.0316297173802671,-0.05161207560078742,-0.2688719814753554,-1.0910510597195762,-1.2994143484626686,-0.2083632887430924
